epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,34.9543,0.84941,0.79024,1,0.66418,0.070084,0.003324,0.003324
2,72.9649,0.75029,0.73074,1,0.79471,0.0400511,0.00662438,0.00662438
3,111.83,0.66146,0.7849,1,0.55096,0.00998513,0.00989176,0.00989176
4,148.077,0.61105,0.76583,1,0.6664,0.0098515,0.0098515,0.0098515
5,187.049,0.55938,0.81693,1,0.51383,0.009802,0.009802,0.009802
6,218.945,0.53247,0.84592,1,0.39061,0.0097525,0.0097525,0.0097525
7,252.688,0.47655,0.72921,1,0.88153,0.009703,0.009703,0.009703
8,296.096,0.47272,0.85736,1,0.42528,0.0096535,0.0096535,0.0096535
9,337.406,0.44082,0.87033,1,0.36232,0.009604,0.009604,0.009604
10,376.801,0.44811,0.87643,1,0.33841,0.0095545,0.0095545,0.0095545
11,420.6,0.45257,0.85202,1,0.36973,0.009505,0.009505,0.009505
12,463.183,0.40131,0.8688,1,0.36431,0.0094555,0.0094555,0.0094555
13,503.653,0.41133,0.8688,1,0.39477,0.009406,0.009406,0.009406
14,541.346,0.41861,0.90465,1,0.32893,0.0093565,0.0093565,0.0093565
15,583.183,0.40487,0.83677,1,0.50578,0.009307,0.009307,0.009307
16,614.571,0.42195,0.8955,1,0.28512,0.0092575,0.0092575,0.0092575
17,649.106,0.3948,0.86194,1,0.41357,0.009208,0.009208,0.009208
18,677.081,0.38989,0.9077,1,0.27172,0.0091585,0.0091585,0.0091585
19,705.3,0.37395,0.84744,1,0.37036,0.009109,0.009109,0.009109
20,732.676,0.36615,0.89703,1,0.3438,0.0090595,0.0090595,0.0090595
21,763.053,0.36678,0.91533,1,0.23447,0.00901,0.00901,0.00901
22,792.439,0.35594,0.90236,1,0.25467,0.0089605,0.0089605,0.0089605
23,825.991,0.37024,0.87948,1,0.30476,0.008911,0.008911,0.008911
24,858.125,0.33278,0.91381,1,0.2613,0.0088615,0.0088615,0.0088615
25,889.812,0.35721,0.86346,1,0.3943,0.008812,0.008812,0.008812
26,926.187,0.33774,0.88558,1,0.3298,0.0087625,0.0087625,0.0087625
27,964.004,0.35484,0.9016,1,0.25664,0.008713,0.008713,0.008713
28,1001.51,0.3205,0.90008,1,0.26237,0.0086635,0.0086635,0.0086635
29,1039.43,0.3756,0.9222,1,0.21889,0.008614,0.008614,0.008614
30,1077.02,0.32371,0.89321,1,0.27363,0.0085645,0.0085645,0.0085645
31,1115.22,0.35413,0.89779,1,0.28092,0.008515,0.008515,0.008515
32,1149.16,0.32452,0.93135,1,0.21837,0.0084655,0.0084655,0.0084655
33,1188,0.33498,0.92372,1,0.21274,0.008416,0.008416,0.008416
34,1234.62,0.33383,0.91915,1,0.2047,0.0083665,0.0083665,0.0083665
35,1273.13,0.31036,0.92677,1,0.25427,0.008317,0.008317,0.008317
36,1304.77,0.31701,0.90923,1,0.28738,0.0082675,0.0082675,0.0082675
37,1335.31,0.32562,0.9077,1,0.27608,0.008218,0.008218,0.008218
38,1364.68,0.30402,0.92677,1,0.22782,0.0081685,0.0081685,0.0081685
39,1395.41,0.31852,0.93059,1,0.19936,0.008119,0.008119,0.008119
40,1424.57,0.30747,0.92067,1,0.22458,0.0080695,0.0080695,0.0080695
41,1454.13,0.28551,0.9283,1,0.2054,0.00802,0.00802,0.00802
42,1484.03,0.31412,0.91457,1,0.22943,0.0079705,0.0079705,0.0079705
43,1513.09,0.31896,0.92525,1,0.22228,0.007921,0.007921,0.007921
44,1542.31,0.29902,0.93516,1,0.18607,0.0078715,0.0078715,0.0078715
45,1571.48,0.29061,0.9344,1,0.1961,0.007822,0.007822,0.007822
46,1600.91,0.2798,0.94203,1,0.19115,0.0077725,0.0077725,0.0077725
47,1629.88,0.28729,0.93745,1,0.17514,0.007723,0.007723,0.007723
48,1658.02,0.28559,0.92601,1,0.2108,0.0076735,0.0076735,0.0076735
49,1686.72,0.27632,0.93059,1,0.18707,0.007624,0.007624,0.007624
50,1715.49,0.2863,0.93974,1,0.17374,0.0075745,0.0075745,0.0075745
51,1744.33,0.27758,0.93288,1,0.17846,0.007525,0.007525,0.007525
52,1773.98,0.28435,0.94661,1,0.16574,0.0074755,0.0074755,0.0074755
53,1803.23,0.27362,0.93593,1,0.17364,0.007426,0.007426,0.007426
54,1831.68,0.33188,0.93135,1,0.20584,0.0073765,0.0073765,0.0073765
55,1860.11,0.29173,0.94203,1,0.17194,0.007327,0.007327,0.007327
56,1888.53,0.25902,0.93822,1,0.17531,0.0072775,0.0072775,0.0072775
57,1917.25,0.28322,0.9405,1,0.18057,0.007228,0.007228,0.007228
58,1946.31,0.28168,0.93516,1,0.1905,0.0071785,0.0071785,0.0071785
59,1974.85,0.27459,0.94661,1,0.1619,0.007129,0.007129,0.007129
60,2002.78,0.25018,0.94279,1,0.18106,0.0070795,0.0070795,0.0070795
61,2031.16,0.28817,0.93898,1,0.17298,0.00703,0.00703,0.00703
62,2059.76,0.25693,0.94432,1,0.16851,0.0069805,0.0069805,0.0069805
63,2087.67,0.26502,0.95728,1,0.13696,0.006931,0.006931,0.006931
64,2116.97,0.25966,0.94584,1,0.14735,0.0068815,0.0068815,0.0068815
65,2145.39,0.25179,0.955,1,0.13167,0.006832,0.006832,0.006832
66,2174.14,0.25626,0.94737,1,0.15024,0.0067825,0.0067825,0.0067825
67,2202.35,0.2557,0.95728,1,0.13489,0.006733,0.006733,0.006733
68,2231.2,0.24219,0.95957,1,0.1293,0.0066835,0.0066835,0.0066835
69,2261.59,0.24741,0.94584,1,0.14413,0.006634,0.006634,0.006634
70,2293.49,0.24657,0.95423,1,0.15242,0.0065845,0.0065845,0.0065845
71,2323.27,0.27123,0.9611,1,0.1307,0.006535,0.006535,0.006535
72,2352.88,0.24528,0.95195,1,0.12998,0.0064855,0.0064855,0.0064855
73,2381.14,0.23119,0.9611,1,0.12097,0.006436,0.006436,0.006436
74,2410.05,0.25183,0.95652,1,0.13954,0.0063865,0.0063865,0.0063865
75,2438.07,0.22828,0.95347,1,0.1383,0.006337,0.006337,0.006337
76,2467.42,0.23294,0.95881,1,0.11782,0.0062875,0.0062875,0.0062875
77,2495.66,0.23126,0.9611,1,0.1165,0.006238,0.006238,0.006238
78,2523.7,0.23378,0.95881,1,0.11868,0.0061885,0.0061885,0.0061885
79,2552.77,0.21923,0.955,1,0.13268,0.006139,0.006139,0.006139
80,2585.44,0.23753,0.95652,1,0.12776,0.0060895,0.0060895,0.0060895
81,2625.4,0.21632,0.95881,1,0.1041,0.00604,0.00604,0.00604
82,2662.54,0.22889,0.9611,1,0.10712,0.0059905,0.0059905,0.0059905
83,2690.44,0.21499,0.9672,1,0.10297,0.005941,0.005941,0.005941
84,2721.44,0.22413,0.96339,1,0.10517,0.0058915,0.0058915,0.0058915
85,2749.72,0.23098,0.95652,1,0.10966,0.005842,0.005842,0.005842
86,2777.5,0.2139,0.96491,1,0.09607,0.0057925,0.0057925,0.0057925
87,2806.03,0.21508,0.97025,1,0.09724,0.005743,0.005743,0.005743
88,2833.5,0.22773,0.96034,1,0.10711,0.0056935,0.0056935,0.0056935
